Wall time,Step,Value
1717196677.195267,9,0.17159999907016754
1717196686.4169414,19,0.21940000355243683
1717196695.7140784,29,0.23019999265670776
1717196705.0020785,39,0.30320000648498535
1717196714.2656472,49,0.2913999855518341
1717196723.5710387,59,0.3472000062465668
1717196732.861106,69,0.36660000681877136
1717196742.210329,79,0.38370001316070557
1717196751.353172,89,0.4034000039100647
1717196760.6180854,99,0.4154999852180481
1717196769.9126909,109,0.44699999690055847
1717196779.2132008,119,0.46309998631477356
1717196788.6526787,129,0.46700000762939453
1717196798.1486802,139,0.4837999939918518
1717196807.6850593,149,0.4819999933242798
1717196817.2655025,159,0.5044999718666077
1717196826.6640794,169,0.5115000009536743
1717196835.9287183,179,0.5271000266075134
1717196845.1398697,189,0.5336999893188477
1717196854.5537956,199,0.5404999852180481
1717196864.193439,209,0.5509999990463257
1717196873.6730535,219,0.5522000193595886
1717196883.0930927,229,0.5605000257492065
1717196892.8236277,239,0.5630999803543091
1717196902.1119256,249,0.5648999810218811
1717196911.3945427,259,0.5730000138282776
1717196920.8150961,269,0.5648000240325928
1717196930.2559025,279,0.5799000263214111
1717196939.4883704,289,0.5928000211715698
1717196948.714043,299,0.5985000133514404
1717196958.09598,309,0.6065000295639038
1717196967.5755193,319,0.6093000173568726
1717196976.884372,329,0.6086999773979187
1717196986.1969106,339,0.625
1717196995.6977086,349,0.6348000168800354
1717197004.9929297,359,0.6180999875068665
1717197014.3422506,369,0.6362000107765198
1717197023.6516693,379,0.6359000205993652
1717197032.9167368,389,0.6424999833106995
1717197042.4541798,399,0.6532999873161316
1717197051.9262834,409,0.6417999863624573
1717197061.4432337,419,0.6510999798774719
1717197070.8719401,429,0.6568999886512756
1717197080.2982912,439,0.6547999978065491
1717197089.625927,449,0.6689000129699707
1717197099.1586847,459,0.6704000234603882
1717197108.5632203,469,0.6733999848365784
1717197118.0926197,479,0.6621000170707703
1717197127.6750138,489,0.666700005531311
1717197137.169628,499,0.6873999834060669
1717197146.601887,509,0.677299976348877
1717197156.0106277,519,0.6772000193595886
1717197165.5563455,529,0.6930999755859375
1717197175.0083609,539,0.679099977016449
1717197184.461638,549,0.6862000226974487
1717197193.8705015,559,0.6743000149726868
1717197203.284832,569,0.6953999996185303
1717197212.885919,579,0.6977999806404114
1717197222.4591699,589,0.6923999786376953
1717197232.0789611,599,0.7064999938011169
1717197241.4997265,609,0.7163000106811523
1717197250.961063,619,0.7038999795913696
1717197260.3042862,629,0.7141000032424927
1717197269.5687761,639,0.7211999893188477
1717197278.9097347,649,0.727400004863739
1717197288.2437232,659,0.7225000262260437
1717197297.7396958,669,0.7232000231742859
1717197307.1488574,679,0.7310000061988831
1717197316.4888794,689,0.7243000268936157
1717197325.8161743,699,0.7351999878883362
1717197335.240423,709,0.7376000285148621
1717197344.6774738,719,0.7422000169754028
1717197353.9796093,729,0.7317000031471252
1717197363.26045,739,0.7394999861717224
1717197372.7422576,749,0.7509999871253967
1717197382.176832,759,0.7472000122070312
1717197391.6779482,769,0.744700014591217
1717197400.99833,779,0.7415000200271606
1717197410.1512923,789,0.7394999861717224
1717197419.5768158,799,0.734000027179718
1717197428.9595659,809,0.7541999816894531
1717197438.216236,819,0.7415000200271606
1717197447.5981393,829,0.7580000162124634
1717197456.956932,839,0.755299985408783
1717197466.368486,849,0.7609999775886536
1717197475.9977477,859,0.7483000159263611
1717197485.4412897,869,0.7559999823570251
1717197494.8912883,879,0.7653999924659729
1717197504.654392,889,0.7505999803543091
1717197514.2510421,899,0.7583000063896179
1717197523.8449643,909,0.7626000046730042
1717197533.3922253,919,0.7602999806404114
1717197542.9404805,929,0.7537000179290771
1717197552.3683817,939,0.7699999809265137
1717197561.7708755,949,0.7628999948501587
1717197571.104817,959,0.7781999707221985
1717197580.5124984,969,0.7742999792098999
1717197589.8745775,979,0.7767000198364258
1717197599.5514338,989,0.7781000137329102
1717197609.1325555,999,0.7753000259399414
